Ребекка,,130 min,"Drama, Mystery, Romance",8.2,0,Alfred Hitchcock,"Laurence Olivier, Joan Fontaine, George Sanders, ",0,0
Вiднесенi вiтром,,238 min,"Drama, History, Romance",8.2,97,Victor Fleming,"George Cukor, Sam Wood, Clark Gable, Vivien Leigh, Thomas Mitchell, ",0,0
З собою не забрати,,126 min,"Comedy, Drama, Romance",8.0,0,Frank Capra,"Jean Arthur, James Stewart, Lionel Barrymore, ",0,0
Життя Емiля Золя,,116 min,"Biography, Drama",7.3,0,William Dieterle,"Paul Muni, Gale Sondergaard, Joseph Schildkraut, ",0,0
Великий Зiгфiльд,,176 min,"Biography, Drama, Musical",6.8,0,Robert Z. Leonard,"William Powell, Myrna Loy, Luise Rainer, ",0,0
Заколот на Баунтi,,132 min,"Adventure, Biography, Drama",7.8,0,Frank Lloyd,"Charles Laughton, Clark Gable, Franchot Tone, ",0,0
Це сталося якось вночi,,105 min,"Comedy, Romance",8.2,0,Frank Capra,"Clark Gable, Claudette Colbert, Walter Connolly, ",0,0
Cavalcade,,112 min,"Drama, Romance, War",6.0,0,Frank Lloyd,"Diana Wynyard, Clive Brook, Una O'Connor, ",0,0
Гранд Готель,,112 min,"Drama, Romance",7.6,0,Edmund Goulding,"Greta Garbo, John Barrymore, Joan Crawford, ",0,0
Cimarron,,123 min,"Drama, Western",6.0,0,Wesley Ruggles,"Richard Dix, Irene Dunne, Estelle Taylor, ",0,0
На захiдному фронтi без змiн,,136 min,"Drama, War",8.1,0,Lewis Milestone,"Lew Ayres, Louis Wolheim, John Wray, ",0,0
Бродвейська мелодiя,,100 min,"Drama, Musical, Romance",6.3,0,Harry Beaumont,"Bessie Love, Anita Page, Charles King, ",0,0
Свiтанок: Пiсня двох людей,,94 min,"Drama, Romance",8.2,0,F.W. Murnau,"George O'Brien, Janet Gaynor, Margaret Livingston, ",0,0
Крила,PG-13,144 min,"Drama, Romance, War",7.8,0,William A. Wellman,"Harry d'Abbadie d'Arrast, Clara Bow, Charles 'Buddy' Rogers, Richard Arlen, ",0,0
